stars,reviews,price,categoryName,isBestSeller,boughtInLastMonth,word_count,discount
4.4,834,18.9,Beauty,1,10000,9,0.0
4.3,1928,11.97,Beauty,1,9000,8,0.0
4.6,2066,11.99,Beauty,1,9000,20,0.0
4.7,2474,38.0,Beauty,1,7000,25,0.0
4.2,1062,28.99,Beauty,0,0,28,0.0
4.5,1991,18.99,Beauty,0,4000,26,0.0
4.8,1012,23.47,Beauty,0,6000,17,18.98515705902658
4.4,2409,3.97,Beauty,1,3000,28,0.0
4.6,2179,24.99,Beauty,1,4000,15,0.0
4.5,1256,30.95,Beauty,0,0,33,0.0
4.1,14,25.3,Beauty,0,0,22,0.0
4.6,1896,17.99,Beauty,0,0,22,0.0
4.6,2419,31.95,Beauty,1,5000,21,0.0
4.1,955,8.49,Beauty,1,5000,26,0.0
4.7,2355,10.98,Beauty,0,2000,17,0.0
4.7,2417,7.97,Beauty,0,4000,27,18.34016393442623
4.4,2276,8.67,Beauty,0,4000,13,0.0
4.7,1073,9.99,Beauty,0,1000,12,13.054830287206265
4.6,56,32.91,Beauty,0,2000,29,0.0
4.7,1693,4.79,Beauty,0,3000,15,0.0
4.5,2246,19.87,Beauty,0,3000,22,17.17382242601083
4.5,1692,16.96,Beauty,0,3000,27,24.555160142348754
4.1,75,9.99,Beauty,0,200,25,9.510869565217382
4.3,1699,30.16,Beauty,0,3000,30,18.46444985131117
4.6,751,19.97,Beauty,0,4000,16,10.368043087971285
4.6,1204,11.99,Beauty,0,2000,19,0.0
4.2,1037,22.99,Beauty,1,3000,23,0.0
4.5,466,9.99,Beauty,1,2000,30,28.591851322373124
4.5,546,7.99,Beauty,0,2000,29,0.0
4.6,2060,6.15,Beauty,0,2000,1,26.081730769230766
4.6,2319,16.05,Beauty,0,2000,24,0.0
4.5,725,18.95,Beauty,1,2000,49,0.0
4.7,1801,11.99,Beauty,0,2000,13,12.609329446064145
4.7,1232,5.47,Beauty,0,2000,13,0.0
4.7,663,44.99,Beauty,0,2000,18,0.0
4.6,1548,16.79,Beauty,0,3000,28,0.0
4.6,1382,6.99,Beauty,0,2000,10,12.51564455569462
4.6,68,22.99,Beauty,0,1000,26,0.0
4.7,1357,21.99,Beauty,1,2000,27,0.0
4.7,1172,54.0,Beauty,1,2000,10,0.0
4.7,1241,3.99,Beauty,0,2000,16,23.85496183206107
4.4,202,2.99,Beauty,1,2000,16,0.0
4.7,1070,6.48,Beauty,0,2000,11,0.0
4.5,1910,25.95,Beauty,0,2000,18,0.0
4.3,1007,14.63,Beauty,0,2000,28,0.0
4.7,1393,16.99,Beauty,0,3000,14,18.979494515975208
4.7,1366,7.99,Beauty,1,2000,14,0.0
4.5,912,10.99,Beauty,0,1000,19,24.154589371980677
4.3,542,24.99,Beauty,0,2000,18,10.718113612004288
4.5,1407,16.19,Beauty,0,1000,9,0.0
4.6,2199,7.99,Beauty,0,2000,11,0.0
4.6,912,38.0,Beauty,0,600,15,0.0
4.2,567,10.99,Beauty,0,2000,9,8.340283569641366
4.6,1744,8.48,Beauty,0,2000,22,0.0
4.7,1802,7.69,Beauty,0,2000,20,12.314709236031918
4.1,160,18.99,Beauty,0,2000,32,0.0
4.6,2453,2.99,Beauty,0,2000,10,0.0
4.7,1721,4.79,Beauty,0,2000,13,0.0
4.8,1016,8.47,Beauty,0,1000,8,0.0
4.8,2206,7.99,Beauty,0,1000,22,0.0
4.4,1372,14.97,Beauty,0,2000,35,11.889346674514409
4.6,964,9.97,Beauty,0,2000,14,23.248652809853727
4.2,2100,14.62,Beauty,0,2000,25,0.0
4.3,2343,7.99,Beauty,0,1000,4,11.123470522803114
4.7,2310,7.97,Beauty,0,1000,23,0.0
4.7,2052,9.97,Beauty,0,1000,29,13.52992194275801
4.7,1203,6.88,Beauty,0,1000,24,35.64078578110384
4.5,1585,16.99,Beauty,0,1000,32,0.0
4.2,2047,32.99,Beauty,1,2000,20,29.793573100659714
4.4,294,8.97,Beauty,0,2000,32,18.231540565177756
4.5,218,30.67,Beauty,0,2000,27,17.085698837523655
4.7,69,8.98,Beauty,1,2000,23,0.0
4.5,99,12.99,Beauty,0,1000,19,0.0
4.7,1064,5.49,Beauty,0,2000,11,21.233859397417497
4.2,112,24.99,Beauty,0,2000,13,0.0
4.7,828,19.99,Beauty,0,2000,8,0.0
4.1,1677,10.99,Beauty,1,2000,19,0.0
4.8,1185,11.0,Beauty,0,2000,20,15.188897455666927
4.5,2421,23.47,Beauty,0,2000,12,0.0
4.7,325,19.56,Beauty,0,2000,24,11.010009099181081
4.4,1432,24.97,Beauty,0,2000,9,16.73891297099033
4.5,748,54.99,Beauty,0,1000,25,0.0
4.4,768,4.49,Beauty,0,2000,7,0.0
4.8,1084,5.99,Beauty,0,1000,13,0.0
4.4,480,24.0,Beauty,0,300,18,38.46153846153847
4.6,2332,3.99,Beauty,0,1000,24,0.0
4.6,1810,24.93,Beauty,0,2000,11,42.00976971388695
4.7,883,7.97,Beauty,0,2000,6,0.0
4.7,1653,17.65,Beauty,0,1000,32,11.705852926463232
4.4,2187,49.99,Beauty,0,2000,24,16.66944490748458
4.6,2417,2.99,Beauty,0,1000,12,25.436408977556102
4.3,629,6.97,Beauty,0,1000,14,12.765957446808516
4.5,516,25.99,Beauty,0,2000,11,0.0
4.5,1147,7.29,Beauty,0,2000,24,0.0
4.3,1529,27.18,Beauty,0,3000,16,0.0
4.7,1699,18.77,Beauty,0,2000,11,0.0
4.5,2515,19.47,Beauty,0,2000,21,15.2372659991293
4.2,1925,13.59,Beauty,0,1000,23,0.0
4.4,1304,5.99,Beauty,0,1000,21,0.0
4.7,1277,18.97,Beauty,0,1000,23,10.729411764705887
4.6,1065,14.29,Beauty,1,1000,6,27.535496957403648
4.5,1012,6.92,Beauty,0,2000,25,0.0
4.5,2224,6.99,Beauty,0,1000,18,0.0
4.5,283,9.87,Beauty,0,1000,13,14.693171996542793
4.7,969,6.77,Beauty,0,1000,15,0.0
4.2,1653,7.97,Beauty,1,1000,25,0.0
4.6,1807,8.97,Beauty,0,2000,4,10.030090270812437
4.6,663,5.77,Beauty,0,1000,26,0.0
4.6,1384,11.99,Beauty,0,1000,21,0.0
4.4,71,2.99,Beauty,0,600,18,33.4075723830735
4.6,1067,17.45,Beauty,0,1000,20,36.706565107000365
4.3,1392,14.97,Beauty,0,1000,19,0.0
4.7,1781,9.97,Beauty,0,1000,27,0.0
4.6,2194,5.49,Beauty,0,1000,18,0.0
4.7,1192,17.99,Beauty,0,1000,29,15.420780441937007
4.3,831,3.99,Beauty,0,2000,11,0.0
4.2,291,24.25,Beauty,0,1000,35,19.139713237745912
4.5,923,10.79,Beauty,0,1000,20,18.688771665410705
4.8,516,7.97,Beauty,0,2000,5,0.0
4.6,2438,29.97,Beauty,0,1000,11,14.346956273220929
4.6,1153,7.57,Beauty,0,1000,13,15.795328142380422
4.7,1027,4.47,Beauty,0,2000,12,0.0
4.6,591,5.77,Beauty,0,1000,15,0.0
4.7,669,4.31,Beauty,1,1000,19,0.0
4.7,561,7.97,Beauty,0,2000,5,0.0
4.6,1025,13.47,Beauty,0,1000,30,0.0
4.5,1328,10.99,Beauty,0,2000,19,26.684456304202804
4.2,2011,5.68,Beauty,1,1000,12,0.0
4.1,160,21.95,Beauty,0,1000,24,0.0
